Country,Indicator,Year,Inflation_Rate,ID
"China, People's Republic of",Annual average inflation (consumer prices) rate,1980,,"China, People's Republic of_1980"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,1980,40.0,"Congo, Dem. Rep. of the_1980"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1980,7.3,"Congo, Republic of _1980"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1980,8.8,Côte d'Ivoire_1980
Egypt,Annual average inflation (consumer prices) rate,1980,20.5,Egypt_1980
Hong Kong SAR,Annual average inflation (consumer prices) rate,1980,4.4,Hong Kong SAR_1980
Iran,Annual average inflation (consumer prices) rate,1980,20.6,Iran_1980
"Korea, Republic of",Annual average inflation (consumer prices) rate,1980,28.7,"Korea, Republic of_1980"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1980,188.8,Lao P.D.R._1980
Macao SAR,Annual average inflation (consumer prices) rate,1980,,Macao SAR_1980
"Micronesia, Fed. States of",Annual average inflation (consumer prices) rate,1980,,"Micronesia, Fed. States of_1980"
North Macedonia ,Annual average inflation (consumer prices) rate,1980,,North Macedonia _1980
Saint Kitts and Nevis,Annual average inflation (consumer prices) rate,1980,19.3,Saint Kitts and Nevis_1980
Saint Lucia,Annual average inflation (consumer prices) rate,1980,19.4,Saint Lucia_1980
Saint Vincent and the Grenadines,Annual average inflation (consumer prices) rate,1980,17.2,Saint Vincent and the Grenadines_1980
"South Sudan, Republic of",Annual average inflation (consumer prices) rate,1980,,"South Sudan, Republic of_1980"
Syria,Annual average inflation (consumer prices) rate,1980,19.3,Syria_1980
São Tomé and Príncipe,Annual average inflation (consumer prices) rate,1980,0.2,São Tomé and Príncipe_1980
Taiwan Province of China,Annual average inflation (consumer prices) rate,1980,19.0,Taiwan Province of China_1980
"Türkiye, Republic of",Annual average inflation (consumer prices) rate,1980,110.6,"Türkiye, Republic of_1980"
Venezuela,Annual average inflation (consumer prices) rate,1980,21.4,Venezuela_1980
Yemen,Annual average inflation (consumer prices) rate,1980,,Yemen_1980
"China, People's Republic of",Annual average inflation (consumer prices) rate,1981,2.5,"China, People's Republic of_1981"
"Congo, Dem. Rep. of the",Annual average inflation (consumer prices) rate,1981,34.9,"Congo, Dem. Rep. of the_1981"
"Congo, Republic of ",Annual average inflation (consumer prices) rate,1981,0.8,"Congo, Republic of _1981"
Côte d'Ivoire,Annual average inflation (consumer prices) rate,1981,8.7,Côte d'Ivoire_1981
Egypt,Annual average inflation (consumer prices) rate,1981,10.4,Egypt_1981
Hong Kong SAR,Annual average inflation (consumer prices) rate,1981,9.5,Hong Kong SAR_1981
Iran,Annual average inflation (consumer prices) rate,1981,24.2,Iran_1981
"Korea, Republic of",Annual average inflation (consumer prices) rate,1981,21.4,"Korea, Republic of_1981"
Lao P.D.R.,Annual average inflation (consumer prices) rate,1981,33.7,Lao P.D.R._1981
Macao SAR,Annual average inflation (consumer prices) rate,1981,,Macao SAR_1981
